date,created_count
2026-01-16,1481
2026-01-17,0
2026-01-18,0
2026-01-19,1
2026-01-20,2
2026-01-21,5
2026-01-22,1
2026-01-23,0
2026-01-24,0
2026-01-25,0
2026-01-26,0
2026-01-27,1
2026-01-28,1
2026-01-29,1
2026-01-30,0
2026-01-31,0
2026-02-01,0
2026-02-02,1
2026-02-03,1
2026-02-04,0
2026-02-05,0
2026-02-06,0
2026-02-07,0
2026-02-08,1
2026-02-09,0
2026-02-10,0
2026-02-11,1
2026-02-12,0
2026-02-13,0
2026-02-14,0
2026-02-15,0
2026-02-16,0
2026-02-17,5
2026-02-18,8
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,0
2026-02-24,0
2026-02-25,0
2026-02-26,0
2026-02-27,0
2026-02-28,1
2026-03-01,0
2026-03-02,0
